CountryCode,TeamName
AR,Tristan Suarez
AR,Sarmiento de Junin
GB,Man Utd
CO,Deportivo Pasto
IT,AZ Picerno ASD
PE,Melgar
GB,Cardiff
CO,Cucuta Deportivo
ES,Levante
GB,Aberdeen
AT,SCR Altach
MX,Monarcas Morelia (W)
AR,Lanus
null,CONMEBOL Copa America
DZ,Kabylie
TR,Gaziantep FK
null,Sporting Lisbon
RO,Gaz Metan Medias
PT,Chaves
GB,Daily Goals
GB,Hearts
BR,Caldense Mg
VE,Deportivo Tachira
IT,Paganese
GB,Rangers
ES,Celta Vigo
IL,Beitar Jerusalem
EG,El Geish
DE,Augsburg
ES,Extremadura UD
TR,Erzurum BB
DE,Mainz
DE,Hoffenheim
CO,Bogota
IL,Hapoel Kiryat Shmona
BO,Royal Pari
ES,Sevilla
null,Malmo FF
NL,NAC Breda
GR,AEK Athens
GB,Portsmouth
BE,Royal Mouscron
UY,River Plate (Uru)
BR,EC Vitoria Salvador
BR,Taubate
BR,Red Bull Brasil
SV,Alianza FC (SLV)
TR,Besiktas
DK,FC Copenhagen
NL,Feyenoord
BR,CSA
PE,Uni San Martin
DK,FC Nordsjaelland
PL,Lech Poznan
DK,OB
GB,Hamilton
DE,Paderborn
PY,Sportivo San Lorenzo
ES,Mallorca
CL,Curico Unido
AR,CA Independiente
GB,Macclesfield
AR,CSR Espanol BA
GB,Brighton
VE,Portuguesa FC
GB,Livingston
PT,Condeixa
RO,CSMS Iasi
HN,Honduras Progreso
BE,Anderlecht
IT,Udinese
GB,Reading
IT,Pontedera
DE,Hamburger SV
DK,SonderjyskE
NL,RKC Waalwijk
BR,Boavista RJ
DE,Arminia Bielefeld
RO,Hermannstadt
GB,Fulham
IT,Pisa
DE,Nurnberg
RO,FC Voluntari
BO,Oriente Petrolero
ES,Leganes
CO,Boyaca Patriotas
BR,Concordia CA
RO,Chindia Targoviste
null,Olympiakos
IL,Hapoel Tel Aviv
TR,Kasimpasa
GB,Gillingham
BO,Aurora
GB,QPR
NL,PEC Zwolle
ES,Real Betis B
FR,Metz
null,Al Ahli
UY,CA Rentistas
MX,Tigres de la UANL U20
DE,Wolfsburg
BR,Cuiaba
SV,Jocoro
AU,Australian A
PT,SC Beira Mar Aveiro
BR,Treze
FR,Paris St
DE,Hamburg II
BR,Ituano
RO,Universitatea Craiova
ES,Rayo Vallecano (W)
ES,Leonesa
AR,CS Dock Sud
MX,Atletico San Luis II
GB,English Premier League
BR,CA Tubarao
GB,Barnsley
AR,Godoy Cruz
null,Specials
GB,Southport
BE,Eupen
TR,Konyaspor
ES,Valladolid
null,Al Wahda (Abu Dhabi)
NL,Sparta Rotterdam
GB,Wigan
FR,Nimes
PT,Famalicao
BR,Ypiranga RS
NL,Ajax
DE,VfL Osnabruck
ES,Athletic Bilbao
null,Pakhtakor
PE,Sport Huancayo
GB,Hibernian
RO,Viitorul Constanta
IT,Pergolettese
NL,Heerenveen
GB,Birmingham
BR,Monte Azul SP
AR,CA Temperley
DE,Hannover II
DK,Lyngby
BR,SC Internacional (W)
BO,Blooming Santa Cruz
PE,Deportivo Municipal
null,Minnesota Utd
GB,Everton
ES,Villarreal
GB,Maidstone Utd
BR,America de Pedrinhas
DK,Randers
ES,Betis
GB,Nottm Forest
GB,Sheff Utd
IT,Rende
GB,Huddersfield
BE,Kortrijk
CO,Once Caldas
CO,Junior FC Barranquilla
BR,Mirassol
AR,Arsenal de Sarandi
BO,The Strongest
NL,Jong Ajax Amsterdam
TR,Balikesirspor
GB,St Johnstone
GB,Liverpool
ES,Real Madrid
PY,River Plate Asuncion
AR,Banfield
DZ,Paradou
FR,Chateauroux
IT,Napoli
IT,Potenza
MX,Yalmakan FC
ES,Atletico Madrid
AR,Velez Sarsfield
DE,SV Darmstadt
ES,Eldense
NL,PSV
BE,Charleroi
BR,Santos
BE,Waasland
RO,CFR Cluj
null,Benfica
UY,Nacional (Uru)
PT,Farense
VE,Estudiantes de Merida
DE,Wehen Wiesbaden
DE,Eintracht Frankfurt
ES,Barakaldo
BO,Municipal De Vinto
GB,Tottenham
GB,Chelmsford
AR,Boca Juniors
FR,Paris St
null,UEFA Champions League
BO,Bolivar
JM,Waterhouse FC
MX,Club Santos Laguna U20
null,Padideh
NL,Heracles
MT,Senglea Athletic FC
HR,HNK Gorica
IT,Chievo
TR,Adanaspor
GB,Norwich
PE,Sporting Cristal
IT,LR Vicenza Virtus
null,Al
FR,Dijon
FR,Rennes
AR,Estudiantes
BR,Ferroviaria S/A Araraquara (W)
DZ,CS Constantine
null,AL Shorta Baghdad
GR,Levadiakos
IT,Torino
SV,AD Isidro Metapan
SV,Once Municipal
IT,Calcio Avellino SSD
BR,SC Atibaia
DE,Greuther Furth
ES,Getafe
AR,Almagro BA
IT,Pistoiese
ES,Tenerife
CO,Real Santander
DZ,ASO Chlef
MA,FAR Rabat
JM,Humble Lions
BE,Antwerp
BE,Genk
AR,Guillermo Brown
ES,Lorca Deportiva CF
IT,Robur Siena
GB,Stoke
VE,Monagas
BR,Avai
ES,Osasuna
GB,Leeds
DE,St Pauli
NL,FC Utrecht
DE,Hallescher FC
CL,Univ de Concepcion
NL,Willem II
BE,Cercle Brugge
BR,Sociedade Boca Junior
IT,Salernitana
AR,CA Colegiales
DZ,US Biskra
FR,Montpellier
FR,Amiens
ES,Eibar
null,New England
null,Shakhtar
null,Ludogorets
DE,Holstein Kiel
GB,Man City
DK,Brondby
NL,FC Twente
AR,Belgrano
BR,Araguaia
GB,Kilmarnock
GB,St Mirren
EC,LDU de Portoviejo
MX,Venados FC
DE,Fortuna Dusseldorf
TR,Sivasspor
HR,Rijeka
GB,Hull
ES,Atletico Sanluqueno CF
DE,Bayern Munich II
EC,Olmedo
ES,Marbella
ES,Spanish Copa del Rey
PY,Olimpia
CZ,FK Jablonec
DE,RB Leipzig
IT,Rieti
BR,America RJ
FR,Nice
ES,Sociedad
DZ,ES Setif
ES,Espanyol
HU,MTK Budapest
ES,Alaves
HN,Platense FC
null,Gent
ES,Rayo Vallecano
BR,Campinense
IL,Maccabi Tzur Shalom
RO,Astra Giurgiu
IT,SPAL
AR,Villa Dalmine
GB,Luton
ES,RCP Valverdeno
PT,Porto
IT,Empoli
BR,Joinville
AR,Acassuso
UY,Cerro Largo FC
IT,Fiorentina
IT,Verona
TR,Trabzonspor
DE,Mgladbach
ES,Sporting Gijon
ES,Mar Menor CF
CR,UCR
CR,Municipal Perez Zeledon
BR,Portuguesa SP
IT,Lecco
ES,Racing Santander
EC,El Nacional
ES,Union de Salamanca
IT,Lecce
AT,Sturm Graz
EC,Barcelona (Ecu)
FR,Monaco
EC,Guayaquil City
UY,Danubio
MX,Santos Laguna
DE,Leverkusen
GB,Chelsea
GB,Millwall
PE,UTC Cajamarca
BE,Yellow
MX,Tigres
GB,West Brom
AR,Agropecuario
IT,AC Milan
GB,West Ham
FR,Toulouse
TR,Goztepe
DE,Union Berlin
HN,CD Real Sociedad
GB,Bournemouth
IT,Pro Vercelli
PT,SL Benfica Lisbon FC U19
null,Al Ahli (UAE)
DK,Hobro
AR,CSD Liniers de Ciudad Evita
NL,VVV Venlo
BR,Americano
DE,Werder Bremen
BR,Parana
GB,Ross Co
BR,CR Flamengo (W)
GB,Swansea
AR,River Plate
DE,Stuttgart
DE,Dortmund
GB,Oxford Utd
DE,Hertha Berlin
CO,Envigado
ES,Deportivo La Coruna (W)
GB,Bath City
PT,Aves
BE,Club Brugge
MT,Hamrun Spartans FC
AR,Defensa y Justicia
BR,Sergipe
FR,Nantes
BR,AD Frei Paulistano
TR,Kayserispor
CO,Atletico FC Cali
GB,Derby
GR,Atromitos
DK,Esbjerg
DE,Jahn Regensburg
DE,German Cup
RO,FCSB
IT,Sassuolo
FR,Strasbourg
NL,Emmen
null,Red Bull Salzburg
AT,Mattersburg
RO,Dinamo Bucharest
IT,Sampdoria
CZ,Pribram
DE,SV Sandhausen
DZ,Bordj Bou Arreridj
ES,Valencia
